FIPS,EDU_PESS_Districts,EDU_PESS_Schools,EDU_PESS_Local_Inst,EDU_PESS_Students
21213,1,6,6,3048
21215,1,7,7,2990
21217,2,9,9,3779
21219,1,5,5,2090
21221,1,4,4,2032
21223,1,4,4,1290
21225,1,7,7,2211
21227,3,45,45,19685
21229,1,5,5,1708
21231,1,8,8,3342
21233,1,6,6,2325
21235,3,21,21,8271
21237,1,7,7,1329
21239,1,7,7,4109
22001,1,27,27,9839
22003,1,11,11,4279
22005,1,27,27,21942
22007,1,10,10,3589
22009,2,11,10,6288
22011,1,12,12,5952
22013,1,9,9,2262
22015,1,34,34,22251
22017,2,71,70,40622
22019,4,61,58,34286
22021,1,5,5,1562
22023,1,4,4,1348
22025,1,6,6,1330
22027,1,6,6,1714
22029,2,11,10,3913
22031,1,9,9,5121
22033,26,144,100,62315
22035,1,3,3,1049
22037,1,7,7,2039
22039,1,12,12,5974
22041,1,6,6,3094
22043,1,8,8,3036
22045,1,25,25,12399
22047,2,8,7,5258
22049,1,5,5,2203
22051,3,87,85,49353
22053,1,13,13,5903
22055,4,45,42,32154
22057,2,32,31,14772
22059,1,9,9,2595
22061,5,18,12,6550
22063,1,43,43,25150
22065,2,6,5,1770
22067,1,10,10,4079
22069,2,18,17,6667
22071,64,90,27,50972
22073,4,57,55,28451
22075,2,8,7,5019
22077,1,5,5,2989
22079,2,50,49,23653
22081,1,5,5,1484
22083,2,13,12,3843
22085,1,11,11,4402
22087,1,11,11,7535
22089,1,15,15,9319
22091,1,2,2,1220
22093,2,9,8,3843
22095,1,11,11,5981
22097,2,36,35,14197
22099,1,16,16,8159
22101,2,24,23,9053
22103,1,55,55,38326
22105,2,35,34,19624
22107,1,3,3,592
22109,1,34,34,17917
22111,2,6,5,3058
22113,1,20,20,10692
22115,1,18,18,8882
